event_name,event_type
Spanish 10-y Bond Auction,Bonds
French 10-y Bond Auction,Bonds
10-y Bond Auction,Bonds
30-y Bond Auction,Bonds
German 30-y Bond Auction,Bonds
German 10-y Bond Auction,Bonds
Italian 10-y Bond Auction,Bonds
Spanish Manufacturing PMI,Business
Italian Manufacturing PMI,Business
French Final Manufacturing PMI,Business
German Final Manufacturing PMI,Business
Final Manufacturing PMI,Business
Manufacturing PMI,Business
ISM Manufacturing PMI,Business
ISM Manufacturing Prices,Business
RatingDog Services PMI,Business
Spanish Services PMI,Business
Italian Services PMI,Business
French Final Services PMI,Business
German Final Services PMI,Business
Final Services PMI,Business
ISM Services PMI,Business
Construction PMI,Business
Ivey PMI,Business
Inflation Expectations q/q,Business
Cleveland Fed Inflation Expectations,Business
NAB Business Confidence,Business
NFIB Small Business Index,Business
Empire State Manufacturing Index,Business
Philly Fed Manufacturing Index,Business
NAHB Housing Market Index,Business
BusinessNZ Manufacturing Index,Business
BusinessNZ Services Index,Business
Flash Manufacturing PMI,Business
Flash Services PMI,Business
French Flash Manufacturing PMI,Business
French Flash Services PMI,Business
German Flash Manufacturing PMI,Business
German Flash Services PMI,Business
CBI Industrial Order Expectations,Business
German ifo Business Climate,Business
Belgian NBB Business Climate,Business
CBI Realized Sales,Business
Richmond Manufacturing Index,Business
ANZ Business Confidence,Business
Chicago PMI,Business
Non-Manufacturing PMI,Business
RatingDog Manufacturing PMI,Business
BSI Manufacturing Index,Business
SECO Economic Forecasts,Business
NZIER Business Confidence,Business
Tankan Manufacturing Index,Business
Tankan Non-Manufacturing Index,Business
NAB Quarterly Business Confidence,Business
ECB Economic Bulletin,Central Bank
BOE Monetary Policy Report,Central Bank
Monetary Policy Summary,Central Bank
MPC Official Bank Rate Votes,Central Bank
Official Bank Rate,Central Bank
Monetary Base y/y,Central Bank
French Gov Budget Balance,Central Bank
Monetary Policy Meeting Minutes,Central Bank
Loan Officer Survey,Central Bank
Cash Rate,Central Bank
RBA Monetary Policy Statement,Central Bank
RBA Rate Statement,Central Bank
RBA Press Conference,Central Bank
Foreign Currency Reserves,Central Bank
BOC Summary of Deliberations,Central Bank
BOJ Summary of Opinions,Central Bank
M2 Money Stock y/y,Central Bank
Federal Budget Balance,Central Bank
M2 Money Supply y/y,Central Bank
Official Cash Rate,Central Bank
RBNZ Monetary Policy Statement,Central Bank
RBNZ Rate Statement,Central Bank
RBNZ Press Conference,Central Bank
1-y Loan Prime Rate,Central Bank
5-y Loan Prime Rate,Central Bank
German Buba Monthly Report,Central Bank
FOMC Meeting Minutes,Central Bank
ECB Monetary Policy Meeting Accounts,Central Bank
Jackson Hole Symposium,Central Bank
M3 Money Supply y/y,Central Bank
M4 Money Supply m/m,Central Bank
BOC Rate Statement,Central Bank
Overnight Rate,Central Bank
BOC Press Conference,Central Bank
Beige Book,Central Bank
Main Refinancing Rate,Central Bank
Monetary Policy Statement,Central Bank
ECB Press Conference,Central Bank
