event_name,ebase_id,event_type
"Wards Total Vehicle Sales",828,"Growth"
"French Industrial Production m/m",222,"Growth"
"Italian Industrial Production m/m",223,"Growth"
"Italian Retail Sales m/m",108,"Growth"
"Factory Orders m/m",351,"Growth"
"BRC Retail Sales Monitor y/y",114,"Growth"
"Household Spending y/y",359,"Growth"
"German Factory Orders m/m",352,"Growth"
"Retail Sales y/y",109,"Growth"
"Retail Sales m/m",106,"Growth"
"Trade Balance",118,"Growth"
"Trade Balance",117,"Growth"
"Trade Balance",630,"Growth"
"USD-Denominated Trade Balance",450,"Growth"
"Leading Indicators",145,"Growth"
"German Industrial Production m/m",221,"Growth"
"German Trade Balance",125,"Growth"
"French Trade Balance",126,"Growth"
"Consumer Credit m/m",341,"Growth"
"Bank Lending y/y",388,"Growth"
"Current Account",217,"Growth"
"Final Wholesale Inventories m/m",154,"Growth"
"Italian Trade Balance",127,"Growth"
"Visitor Arrivals m/m",361,"Growth"
"Prelim Machine Tool Orders y/y",321,"Growth"
"New Loans",477,"Growth"
"Flash GDP q/q",41,"Growth"
"Industrial Production m/m",220,"Growth"
"Prelim GDP q/q",36,"Growth"
"Industrial Production y/y",453,"Growth"
"Retail Sales y/y",470,"Growth"
"Fixed Asset Investment ytd/y",458,"Growth"
"Revised Industrial Production m/m",226,"Growth"
"GDP m/m",804,"Growth"
"Prelim GDP q/q",33,"Growth"
"Goods Trade Balance",119,"Growth"
"Index of Services 3m/3m",385,"Growth"
"Industrial Production m/m",193,"Growth"
"Manufacturing Production m/m",194,"Growth"
"Prelim Business Investment q/q",204,"Growth"
"NIESR GDP Estimate",206,"Growth"
"Wholesale Sales m/m",362,"Growth"
"Core Retail Sales m/m",112,"Growth"
"Retail Sales m/m",102,"Growth"
"Industrial Production m/m",191,"Growth"
"Business Inventories m/m",153,"Growth"
"CB Leading Index m/m",247,"Growth"
"TIC Long-Term Purchases",372,"Growth"
"Tertiary Industry Activity m/m",382,"Growth"
"Retail Sales m/m",105,"Growth"
"Trade Balance",120,"Growth"
"Foreign Direct Investment ytd/y",457,"Growth"
"Foreign Securities Purchases",374,"Growth"
"Manufacturing Sales m/m",363,"Growth"
"CB Leading Index m/m",299,"Growth"
"Core Machinery Orders m/m",354,"Growth"
"CB Leading Index m/m",297,"Growth"
"Trade Balance",121,"Growth"
"Trade Balance",124,"Growth"
"Current Account",218,"Growth"
"Trade Balance",123,"Growth"
"MI Leading Index m/m",303,"Growth"
"Credit Card Spending y/y",184,"Growth"
"Public Sector Net Borrowing",342,"Growth"
"Retail Sales q/q",510,"Growth"
"Core Retail Sales q/q",511,"Growth"
"Core Retail Sales m/m",103,"Growth"
"Retail Sales m/m",104,"Growth"
"Corporate Profits q/q",379,"Growth"
"Core Durable Goods Orders m/m",350,"Growth"
"Durable Goods Orders m/m",349,"Growth"
"CB Leading Index m/m",495,"Growth"
"German Final GDP q/q",77,"Growth"
"Private Loans y/y",365,"Growth"
"Private Capital Expenditure q/q",381,"Growth"
"Current Account",196,"Growth"
"Prelim GDP q/q",27,"Growth"
"Goods Trade Balance",625,"Growth"
"Prelim Wholesale Inventories m/m",642,"Growth"
"Prelim Industrial Production m/m",225,"Growth"
"Retail Sales y/y",115,"Growth"
"Retail Sales m/m",110,"Growth"
"Private Sector Credit m/m",344,"Growth"
"French Consumer Spending m/m",357,"Growth"
"French Prelim GDP q/q",39,"Growth"
"KOF Economic Barometer",301,"Growth"
"Net Lending to Individuals m/m",343,"Growth"
"GDP m/m",29,"Growth"
"Personal Income m/m",360,"Growth"
"Personal Spending m/m",356,"Growth"
"Capital Spending q/y",384,"Growth"
"Company Operating Profits q/q",380,"Growth"
"Retail Sales y/y",109,"Growth"
"BRC Retail Sales Monitor y/y",114,"Growth"
"Current Account",216,"Growth"
"GDP q/q",32,"Growth"
"GDP q/q",31,"Growth"
"Trade Balance",118,"Growth"
"Trade Balance",117,"Growth"
"Factory Orders m/m",351,"Growth"
